"method","sizes","probs","cells","pred_sizes_perf","pred_probs_perf","pred_warns_perf","pred_sizes_corr","pred_probs_corr","pred_warns_corr","zero_prop_corr","error_sizes_perf","error_probs_perf","error_sizes_corr","error_probs_corr"
"negloglik",15.7,0.29,150,17.7222146949927,0.325763026598695,0,18.7920457378695,0.317705980668058,0,0.0866666666666667,2.02221469499274,0.0357630265986949,3.09204573786947,0.0277059806680579
"negloglik",7.2,0.87,3600,7.39995852158956,0.873154952594998,0,5.77309215274571,0.84075437042112,0,0.857777777777778,0.199958521589561,0.00315495259499809,1.42690784725429,0.0292456295788802
"negloglik",49.5,0.54,3750,48.8373166756544,0.537335144692792,0,123.549961155913,0.739683346756405,0,0.0605333333333333,0.662683324345601,0.00266485530720839,74.0499611559131,0.199683346756405
"negloglik",43.9,0.54,1200,53.8105327508377,0.590660789568239,0,122.557960069834,0.758969819523326,0,0.07,9.91053275083775,0.0506607895682386,78.6579600698338,0.218969819523326
"negloglik",0.7,0.58,2350,0.731030703489606,0.585737151313613,0,0.680672186047584,0.578341404628056,0,0.934042553191489,0.0310307034896065,0.00573715131361352,0.0193278139524165,0.00165859537194379
"negloglik",48.4,0.61,3950,46.0075479955741,0.598136034729834,0,42.1211523541332,0.566224028340588,0,0.089620253164557,2.39245200442587,0.0118639652701655,6.27884764586683,0.0437759716594115
"negloglik",7,0.33,2100,7.37348627067137,0.338690143168481,0,6.17960551963006,0.288464297594612,0,0.235714285714286,0.37348627067137,0.00869014316848077,0.82039448036994,0.0415357024053877
"negloglik",24.8,0.24,3150,24.7317020564835,0.238679422924884,0,24.2245919182634,0.227458203575104,0,0.0276190476190476,0.0682979435164519,0.00132057707511557,0.575408081736633,0.0125417964248965
"negloglik",15.2,0.72,3750,17.2808811804515,0.748084499605373,0,17.7890512312481,0.745538101168512,0,0.474133333333333,2.08088118045145,0.0280844996053727,2.58905123124815,0.0255381011685122
"negloglik",34.4,0.39,1600,36.4042408945944,0.404260073879466,0,30.5457261976136,0.354917458063424,0,0.0475,2.00424089459437,0.0142600738794663,3.85427380238638,0.0350825419365761
"negloglik",29.2,0.68,2900,29.8514433461706,0.683793856673619,0,30.2670734655553,0.676153031557509,0,0.22551724137931,0.651443346170584,0.00379385667361942,1.06707346555529,0.00384696844249122
"negloglik",4.2,0.3,2550,4.58870304096267,0.318251474335589,0,4.39697845643963,0.299066281552603,0,0.345882352941176,0.388703040962672,0.0182514743355888,0.196978456439626,0.000933718447397036
"negloglik",25,0.62,3550,23.5779408690652,0.603872173668996,0,20.489188451056,0.556475648168595,0,0.202535211267606,1.42205913093477,0.0161278263310043,4.51081154894396,0.0635243518314049
"negloglik",18.3,0.96,3050,25.2398530268113,0.970745802448483,0,7.14345325169518,0.897769904318764,0,0.888852459016393,6.93985302681133,0.0107458024484831,11.1565467483048,0.0622300956812357
"negloglik",7.4,0.48,1750,6.74048563912016,0.45718707007129,0,5.87441919568216,0.409658847075808,0,0.396,0.659514360879839,0.0228129299287099,1.52558080431784,0.070341152924192
"negloglik",46.6,0.47,4900,48.6243297205727,0.479974085677333,0,47.8783995498292,0.463552656289761,0,0.0491836734693878,2.02432972057266,0.00997408567733304,1.27839954982922,0.00644734371023853
