"method","rerror_mean","rerror_sd","perror_mean","perror_sd","na_proportion","time"
"negloglik",11.6519805885381,29.2026337772966,0.0554624093078434,0.071829148173284,0.02,"3m 18s"
"mom",22.3192708046345,13.7243727530083,0.276519987141421,0.158216078559836,0.02,"47s"
"quasi",25.613265295777,14.3124847160488,0.480719999435649,0.290573078570132,0.02,"8s"
