"genes","r_est","p_est","r_rmse","p_rmse","zero_prop"
"A2M",0.19132983024476,0.00260742356507422,31.8238493285874,0.012048993930659,0.542399072822098
"AAAS",3.56372148425336,0.46840965173995,12.3282582111975,0.0424707134585326,0.764052540081128
"AACS",1.00064251356634,0.269562080338395,26.5584519301907,0.0262992916864365,0.845663511686305
"AAGAB",2.43836217242528,0.345356504766676,18.529278008093,0.0326513116921437,0.744736333784045
"AAK1",1.87662533112955,0.162279459457427,22.6156082785181,0.0210782421398257,0.562391346339579
"AAMDC",1.94256646248443,0.14871878366875,23.305445816593,0.0204209577878307,0.559107591269075
"AAMP",4.63107086867356,0.24136607590181,12.8478862645694,0.026886181493452,0.431427467645354
"AAR2",2.5954503221072,0.393552960727692,16.7700807496515,0.0364742169642682,0.771489279505505
"AARS",1.14994932124666,0.0999187048527572,27.7556854055557,0.016745686277054,0.599575043461464
"AASDH",2.98421991580842,0.53130414360322,11.5085875719732,0.0484169670462223,0.837647286073015
"AASDHPPT",4.04456252947795,0.355214785634592,13.4065201200222,0.033266835406938,0.621981842766081
"AATF",5.91348080447205,0.415949574286168,8.78168364664894,0.0374703865998723,0.589820359281437
"ABCB7",4.51360361555225,0.53703291335012,8.7725645576715,0.0482070216230589,0.768108943403516
"ABCB8",2.25175835607559,0.420194849744095,16.824830675813,0.0387777665709116,0.814467838516515
"ABCC1",1.64236521530996,0.388947108139091,19.6179142858529,0.0362414157912182,0.843055823836199
"ABCC5",0.832778367747297,0.17518799095927,30.1618292126911,0.0191477681506567,0.793026849526753
"ABCD3",2.07772403641861,0.390209741855732,18.2706630017761,0.0362731202939552,0.807707166312536
"ABCD4",0.65599624060158,0.110052286189359,32.3567331185982,0.0148520066646925,0.746474792350782
"ABCE1",2.3793221571003,0.219933156583222,20.9239732909357,0.0242844386744427,0.611261348271199
"ABCF1",3.44394958078154,0.236765980131568,16.6881072912542,0.0260173726695345,0.524724744060267
"ABCF3",2.4876026198935,0.360026654045705,17.901376500507,0.0337691372065587,0.75053119567317
"ABCG1",0.393662795257407,0.0625331888453062,35.7868687768582,0.010992999514173,0.763666215955186
